"ntTitle","ntDec","result","tDec","tTitle"
"Accuracy and impact of risk assessment in the primary prevention of cardiovascular disease: a systematic review","Exclude","","Exclude","Accuracy and impact of risk assessment in the primary prevention of cardiovascular disease: a systematic review"
"Effects of statins on stroke prevention in patients with and without coronary heart disease: a meta-analysis of randomized controlled trials","Exclude","","Exclude","Effects of statins on stroke prevention in patients with and without coronary heart disease: a meta-analysis of randomized controlled trials"
"Effects of early treatment with statins on short-term clinical outcomes in acute coronary syndromes: a meta-analysis of randomized controlled trials","Exclude","","Exclude","Effects of early treatment with statins on short-term clinical outcomes in acute coronary syndromes: a meta-analysis of randomized controlled trials"
"Association between change in high density lipoprotein cholesterol and cardiovascular disease morbidity and mortality: systematic review and meta-regression analysis","Exclude","","Exclude","Association between change in high density lipoprotein cholesterol and cardiovascular disease morbidity and mortality: systematic review and meta-regression analysis"
"A systematic review and meta-analysis of health care utilization outcomes in alcohol screening and brief intervention trials","Exclude","","Exclude","A systematic review and meta-analysis of health care utilization outcomes in alcohol screening and brief intervention trials"
"Using pedometers to increase physical activity and improve health: a systematic review","Exclude","","Exclude","Using pedometers to increase physical activity and improve health: a systematic review"
"Comparative effectiveness of percutaneous coronary interventions and coronary artery bypass grafting for coronary artery disease","Exclude","","Exclude","Comparative effectiveness of percutaneous coronary interventions and coronary artery bypass grafting for coronary artery disease"
"Applying research evidence to optimize telehomecare","Exclude","","Exclude","Applying research evidence to optimize telehomecare"
"Efficacy of bevacizumab (Bev) plus chemotherapy (CT) compared to CT alone in previously untreated locally advanced or metastatic non-small cell lung cancer (NSCLC): systematic review and meta-analysis","Exclude","","Exclude","Efficacy of bevacizumab (Bev) plus chemotherapy (CT) compared to CT alone in previously untreated locally advanced or metastatic non-small cell lung cancer (NSCLC): systematic review and meta-analysis"
"Synthesis of intervention research to modify physical activity and dietary behaviors","Exclude","","Exclude","Synthesis of intervention research to modify physical activity and dietary behaviors"
"Early referral strategies for management of people with markers of renal disease: a systematic review of the evidence of clinical effectiveness, cost-effectiveness and economic analysis","Exclude","","Exclude","Early referral strategies for management of people with markers of renal disease: a systematic review of the evidence of clinical effectiveness, cost-effectiveness and economic analysis"
"Computer telephony: automated calls for medical care","Exclude","","Exclude","Computer telephony: automated calls for medical care"
"Systematic review and meta-analysis of the incidence of incisional hernia at the site of stoma closure","Exclude","",,
"The effects of exenatide bid on metabolic control, medication use and hospitalization in patients with type 2 diabetes mellitus in clinical practice: a systematic review","Exclude","","Exclude","The effects of exenatide bid on metabolic control, medication use and hospitalization in patients with type 2 diabetes mellitus in clinical practice: a systematic review"
"Is there an association between aspirin dosing and cardiac and bleeding events after treatment of acute coronary syndrome? A systematic review of the literature","Exclude","","Exclude","Is there an association between aspirin dosing and cardiac and bleeding events after treatment of acute coronary syndrome? A systematic review of the literature"
"Aspirin for the primary prevention of cardiovascular events in women and men: a sex-specific meta-analysis of randomized controlled trials","Exclude","","Exclude","Aspirin for the primary prevention of cardiovascular events in women and men: a sex-specific meta-analysis of randomized controlled trials"
"Low-dose aspirin in patients with stable cardiovascular disease: a meta-analysis","Exclude","","Exclude","Low-dose aspirin in patients with stable cardiovascular disease: a meta-analysis"
"Off-label use of drug-eluting versus bare metal stents: a lesion-specific systematic review of long-term outcomes","Exclude","","Exclude","Off-label use of drug-eluting versus bare metal stents: a lesion-specific systematic review of long-term outcomes"
"The effect of theory-based interventions on physical activity participation among overweight/obese individuals: a systematic review","Exclude","","Exclude","The effect of theory-based interventions on physical activity participation among overweight/obese individuals: a systematic review"
"Effect of folic acid supplementation on risk of cardiovascular diseases: a meta-analysis of randomized controlled trials","Exclude","","Exclude","Effect of folic acid supplementation on risk of cardiovascular diseases: a meta-analysis of randomized controlled trials"
"Systematic review and meta-analysis of the efficacy of cardioversion by vernakalant and comparators in patients with atrial fibrillation","Exclude","","Exclude","Systematic review and meta-analysis of the efficacy of cardioversion by vernakalant and comparators in patients with atrial fibrillation"
"A systematic review of the benefits of home telecare for frail elderly people and those with long-term conditions","Exclude","","Exclude","A systematic review of the benefits of home telecare for frail elderly people and those with long-term conditions"
"Long-acting calcium antagonists in patients with coronary artery disease: a meta-analysis","Exclude","","Exclude","Long-acting calcium antagonists in patients with coronary artery disease: a meta-analysis"
"Carotid artery stenting vs carotid endarterectomy: meta-analysis and diversity-adjusted trial sequential analysis of randomized trials","Exclude","","Exclude","Carotid artery stenting vs carotid endarterectomy: meta-analysis and diversity-adjusted trial sequential analysis of randomized trials"
"Meta-analysis of multivessel coronary artery revascularization versus culprit-only revascularization in patients with ST-segment elevation myocardial infarction and multivessel disease","Exclude","",,
"Brief interventions for hazardous drinkers delivered in primary care are equally effective in men and women","Exclude","","Exclude","Brief interventions for hazardous drinkers delivered in primary care are equally effective in men and women"
